1734457790.558685 server started (10575): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1734457790.558731 on Linux 6.8.0-49-generic #49-Ubuntu SMP PREEMPT_DYNAMIC Mon Nov  4 02:06:24 UTC 2024
1734457790.558748 using libevent 2.1.12-stable poll
1734457790.558756 using ncurses 6.4 20240113
1734457790.559185 input_key_build: 0x10e1ba (KP0) is 0
1734457790.559191 input_key_build: 0x10e1bb (KP.) is .
1734457790.559199 input_key_build: 0x200000000009 (C-Tab) is \t
1734457790.559206 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1734457790.559220 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1734457790.559227 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1734457790.559234 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1734457790.559241 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1734457790.559248 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1734457790.559269 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1734457790.559281 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1734457790.559299 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1734457790.559312 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1734457790.559320 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1734457790.559327 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1734457790.559334 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1734457790.559341 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1734457790.559348 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1734457790.559355 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1734457790.559362 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1734457790.559369 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1734457790.559376 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1734457790.559394 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1734457790.559402 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1734457790.559409 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1734457790.559416 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1734457790.559423 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1734457790.559430 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1734457790.559437 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1734457790.559444 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1734457790.559451 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1734457790.559458 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1734457790.559465 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1734457790.559472 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1734457790.559479 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1734457790.559486 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1734457790.559493 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1734457790.559500 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1734457790.559508 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1734457790.559515 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1734457790.559523 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1734457790.559530 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1734457790.559538 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1734457790.559545 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1734457790.559553 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1734457790.559560 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1734457790.559567 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1734457790.559575 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1734457790.559582 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1734457790.559589 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1734457790.559596 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1734457790.559603 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1734457790.559624 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1734457790.559631 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1734457790.559637 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1734457790.559644 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1734457790.559650 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1734457790.559657 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1734457790.559669 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1734457790.559676 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1734457790.559683 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1734457790.559689 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1734457790.559696 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1734457790.559703 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1734457790.559713 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1734457790.559720 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1734457790.559726 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1734457790.559733 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1734457790.559740 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1734457790.559753 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1734457790.559761 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1734457790.559767 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1734457790.559774 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1734457790.559781 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1734457790.559787 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1734457790.559794 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1734457790.559800 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1734457790.559807 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1734457790.559814 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1734457790.559827 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1734457790.559843 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1734457790.559850 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1734457790.559857 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1734457790.559864 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1734457790.559870 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1734457790.559877 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1734457790.559884 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1734457790.559890 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1734457790.559897 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1734457790.559903 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1734457790.559910 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1734457790.559917 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1734457790.559924 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1734457790.559930 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1734457790.559937 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1734457790.559944 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1734457790.559951 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1734457790.559957 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1734457790.559964 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1734457790.559971 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1734457790.559977 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1734457790.559984 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1734457790.559991 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1734457790.559998 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1734457790.560004 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1734457790.560011 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1734457790.560018 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1734457790.560025 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1734457790.560031 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1734457790.560038 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1734457790.560045 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1734457790.560051 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1734457790.560058 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1734457790.560065 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1734457790.560072 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1734457790.560078 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1734457790.560096 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1734457790.560103 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1734457790.560110 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1734457790.560117 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1734457790.560124 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1734457790.560131 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1734457790.560138 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1734457790.560144 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1734457790.560151 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1734457790.560158 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1734457790.560165 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1734457790.560172 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1734457790.560178 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1734457790.560185 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1734457790.560192 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1734457790.560198 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1734457790.560209 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1734457790.560216 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1734457790.560230 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1734457790.560237 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1734457790.560244 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1734457790.560251 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1734457790.560268 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1734457790.560276 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1734457790.560283 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1734457790.560290 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1734457790.560298 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1734457790.560304 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1734457790.560311 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1734457790.560318 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1734457790.560325 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1734457790.560331 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1734457790.560338 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1734457790.560345 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1734457790.560352 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1734457790.560358 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1734457790.560365 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1734457790.560372 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1734457790.560379 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1734457790.560385 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1734457790.560392 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1734457790.560399 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1734457790.560406 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1734457790.560412 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1734457790.560419 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1734457790.560426 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1734457790.560432 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1734457790.560439 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1734457790.560446 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1734457790.560453 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1734457790.560466 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1734457790.560473 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1734457790.560480 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1734457790.560488 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1734457790.560494 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1734457790.560501 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1734457790.560508 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1734457790.560515 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1734457790.560521 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1734457790.560528 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1734457790.560535 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1734457790.560542 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1734457790.560549 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1734457790.560555 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1734457790.560586 yylex_token: end at WS
1734457790.560593 yylex_token: bind
1734457790.560601 yylex_token: end at WS
1734457790.560606 yylex_token: -N
1734457790.560628 yylex_token: end at WS
1734457790.560635 yylex_token: Send the prefix key
1734457790.560642 yylex_token: end at WS
1734457790.560648 yylex_token: C-b
1734457790.560655 yylex_token: end at WS
1734457790.560661 yylex_token: send-prefix
1734457790.560672 cmd_parse_build_commands 0:0: bind
1734457790.560687 cmd_parse_build_commands 0:1: -N
1734457790.560694 cmd_parse_build_commands 0:2: Send the prefix key
1734457790.560701 cmd_parse_build_commands 0:3: C-b
1734457790.560709 cmd_parse_build_commands 0:4 0:0: send-prefix
1734457790.560731 cmd_parse_build_commands 0:0: send-prefix
1734457790.560752 args_parse: flags end at 1 of 1
1734457790.560761 cmd_parse_build_commands: send-prefix
1734457790.560768 args_parse_flags: next -N
1734457790.561121 args_parse_flag_argument: -N = Send the prefix key
1734457790.561132 args_parse_flags: next C-b
1734457790.561144 args_parse: flags end at 3 of 5
1734457790.561151 args_parse: 3 = C-b (type STRING)
1734457790.561160 args_parse: 4 = send-prefix (type COMMANDS)
1734457790.561191 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1734457790.561201 cmdq_get_command: [bind-key/0x63dbd06c0890] group 2
1734457790.561209 cmdq_append <global>: [bind-key/0x63dbd06c0890]
1734457790.561220 yylex_token: end at WS
1734457790.561226 yylex_token: bind
1734457790.561233 yylex_token: end at WS
1734457790.561239 yylex_token: -N
1734457790.561248 yylex_token: end at WS
1734457790.561268 yylex_token: Rotate through the panes
1734457790.561280 yylex_token: end at WS
1734457790.561286 yylex_token: C-o
1734457790.561294 yylex_token: end at WS
1734457790.561300 yylex_token: rotate-window
1734457790.561310 cmd_parse_build_commands 0:0: bind
1734457790.561316 cmd_parse_build_commands 0:1: -N
1734457790.561323 cmd_parse_build_commands 0:2: Rotate through the panes
1734457790.561330 cmd_parse_build_commands 0:3: C-o
1734457790.561337 cmd_parse_build_commands 0:4 0:0: rotate-window
1734457790.561347 cmd_parse_build_commands 0:0: rotate-window
1734457790.561358 args_parse: flags end at 1 of 1
1734457790.561365 cmd_parse_build_commands: rotate-window
1734457790.561372 args_parse_flags: next -N
1734457790.561380 args_parse_flag_argument: -N = Rotate through the panes
1734457790.561386 args_parse_flags: next C-o
1734457790.561393 args_parse: flags end at 3 of 5
1734457790.561399 args_parse: 3 = C-o (type STRING)
1734457790.561407 args_parse: 4 = rotate-window (type COMMANDS)
1734457790.561421 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1734457790.561430 cmdq_get_command: [bind-key/0x63dbd06c0eb0] group 10
1734457790.561437 cmdq_append <global>: [bind-key/0x63dbd06c0eb0]
1734457790.561447 yylex_token: end at WS
1734457790.561453 yylex_token: bind
1734457790.561459 yylex_token: end at WS
1734457790.561466 yylex_token: -N
1734457790.561474 yylex_token: end at WS
1734457790.561480 yylex_token: Suspend the current client
1734457790.561487 yylex_token: end at WS
1734457790.561492 yylex_token: C-z
1734457790.561500 yylex_token: end at WS
1734457790.561506 yylex_token: suspend-client
1734457790.561514 cmd_parse_build_commands 0:0: bind
1734457790.561521 cmd_parse_build_commands 0:1: -N
1734457790.561528 cmd_parse_build_commands 0:2: Suspend the current client
1734457790.561535 cmd_parse_build_commands 0:3: C-z
1734457790.561542 cmd_parse_build_commands 0:4 0:0: suspend-client
1734457790.561550 cmd_parse_build_commands 0:0: suspend-client
1734457790.561562 args_parse: flags end at 1 of 1
1734457790.561569 cmd_parse_build_commands: suspend-client
1734457790.561576 args_parse_flags: next -N
1734457790.561583 args_parse_flag_argument: -N = Suspend the current client
1734457790.561589 args_parse_flags: next C-z
1734457790.561596 args_parse: flags end at 3 of 5
1734457790.561603 args_parse: 3 = C-z (type STRING)
1734457790.561610 args_parse: 4 = suspend-client (type COMMANDS)
1734457790.561637 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1734457790.561644 cmdq_get_command: [bind-key/0x63dbd06beaf0] group 18
1734457790.561651 cmdq_append <global>: [bind-key/0x63dbd06beaf0]
1734457790.561660 yylex_token: end at WS
1734457790.561665 yylex_token: bind
1734457790.561671 yylex_token: end at WS
1734457790.561677 yylex_token: -N
1734457790.561684 yylex_token: end at WS
1734457790.561690 yylex_token: Select next layout
1734457790.561708 yylex_token: end at WS
1734457790.561713 yylex_token: Space
1734457790.561720 yylex_token: end at WS
1734457790.561726 yylex_token: next-layout
1734457790.561733 cmd_parse_build_commands 0:0: bind
1734457790.561740 cmd_parse_build_commands 0:1: -N
1734457790.561746 cmd_parse_build_commands 0:2: Select next layout
1734457790.561752 cmd_parse_build_commands 0:3: Space
1734457790.561759 cmd_parse_build_commands 0:4 0:0: next-layout
1734457790.561767 cmd_parse_build_commands 0:0: next-layout
1734457790.561776 args_parse: flags end at 1 of 1
1734457790.561783 cmd_parse_build_commands: next-layout
1734457790.561789 args_parse_flags: next -N
1734457790.561830 args_parse_flag_argument: -N = Select next layout
1734457790.561837 args_parse_flags: next Space
1734457790.561844 args_parse: flags end at 3 of 5
1734457790.561850 args_parse: 3 = Space (type STRING)
1734457790.561857 args_parse: 4 = next-layout (type COMMANDS)
1734457790.561869 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1734457790.561877 cmdq_get_command: [bind-key/0x63dbd06bf1e0] group 26
1734457790.561883 cmdq_append <global>: [bind-key/0x63dbd06bf1e0]
1734457790.561893 yylex_token: end at WS
1734457790.561899 yylex_token: bind
1734457790.561905 yylex_token: end at WS
1734457790.561910 yylex_token: -N
1734457790.561918 yylex_token: end at WS
1734457790.561924 yylex_token: Break pane to a new window
1734457790.561930 yylex_token: end at WS
1734457790.561936 yylex_token: !
1734457790.561942 yylex_token: end at WS
1734457790.561948 yylex_token: break-pane
1734457790.561956 cmd_parse_build_commands 0:0: bind
1734457790.561962 cmd_parse_build_commands 0:1: -N
1734457790.561968 cmd_parse_build_commands 0:2: Break pane to a new window
1734457790.561974 cmd_parse_build_commands 0:3: !
1734457790.561981 cmd_parse_build_commands 0:4 0:0: break-pane
1734457790.561988 cmd_parse_build_commands 0:0: break-pane
1734457790.561996 args_parse: flags end at 1 of 1
1734457790.562002 cmd_parse_build_commands: break-pane
1734457790.562008 args_parse_flags: next -N
1734457790.562015 args_parse_flag_argument: -N = Break pane to a new window
1734457790.562021 args_parse_flags: next !
1734457790.562027 args_parse: flags end at 3 of 5
1734457790.562033 args_parse: 3 = ! (type STRING)
1734457790.562039 args_parse: 4 = break-pane (type COMMANDS)
1734457790.562052 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1734457790.562059 cmdq_get_command: [bind-key/0x63dbd06bf8b0] group 34
1734457790.562066 cmdq_append <global>: [bind-key/0x63dbd06bf8b0]
1734457790.562074 yylex_token: end at WS
1734457790.562080 yylex_token: bind
1734457790.562086 yylex_token: end at WS
1734457790.562091 yylex_token: -N
1734457790.562098 yylex_token: end at WS
1734457790.562104 yylex_token: Split window vertically
1734457790.562110 yylex_token: end at WS
1734457790.562116 yylex_token: "
1734457790.562122 yylex_token: end at WS
1734457790.562128 yylex_token: split-window
1734457790.562135 cmd_parse_build_commands 0:0: bind
1734457790.562141 cmd_parse_build_commands 0:1: -N
1734457790.562147 cmd_parse_build_commands 0:2: Split window vertically
1734457790.562153 cmd_parse_build_commands 0:3: "
1734457790.562160 cmd_parse_build_commands 0:4 0:0: split-window
1734457790.562167 cmd_parse_build_commands 0:0: split-window
1734457790.562177 args_parse: flags end at 1 of 1
1734457790.562185 cmd_parse_build_commands: split-window
1734457790.562191 args_parse_flags: next -N
1734457790.562197 args_parse_flag_argument: -N = Split window vertically
1734457790.562203 args_parse_flags: next "
1734457790.562209 args_parse: flags end at 3 of 5
1734457790.562215 args_parse: 3 = " (type STRING)
1734457790.562222 args_parse: 4 = split-window (type COMMANDS)
1734457790.562234 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1734457790.562241 cmdq_get_command: [bind-key/0x63dbd06c1c90] group 42
1734457790.562248 cmdq_append <global>: [bind-key/0x63dbd06c1c90]
1734457790.562267 yylex_token: end at WS
1734457790.562285 yylex_token: bind
1734457790.562292 yylex_token: end at WS
1734457790.562297 yylex_token: -N
1734457790.562305 yylex_token: end at WS
1734457790.562311 yylex_token: List all paste buffers
1734457790.562317 yylex_token: end at WS
1734457790.562322 yylex_token: #
1734457790.562329 yylex_token: end at WS
1734457790.562335 yylex_token: list-buffers
1734457790.562342 cmd_parse_build_commands 0:0: bind
1734457790.562348 cmd_parse_build_commands 0:1: -N
1734457790.562355 cmd_parse_build_commands 0:2: List all paste buffers
1734457790.562361 cmd_parse_build_commands 0:3: #
1734457790.562367 cmd_parse_build_commands 0:4 0:0: list-buffers
1734457790.562375 cmd_parse_build_commands 0:0: list-buffers
1734457790.562383 args_parse: flags end at 1 of 1
1734457790.562390 cmd_parse_build_commands: list-buffers
1734457790.562396 args_parse_flags: next -N
1734457790.562402 args_parse_flag_argument: -N = List all paste buffers
1734457790.562408 args_parse_flags: next #
1734457790.562414 args_parse: flags end at 3 of 5
1734457790.562420 args_parse: 3 = # (type STRING)
1734457790.562427 args_parse: 4 = list-buffers (type COMMANDS)
1734457790.562439 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1734457790.562446 cmdq_get_command: [bind-key/0x63dbd06c2600] group 50
1734457790.562452 cmdq_append <global>: [bind-key/0x63dbd06c2600]
1734457790.562469 yylex_token: end at WS
1734457790.562475 yylex_token: bind
1734457790.562481 yylex_token: end at WS
1734457790.562486 yylex_token: -N
1734457790.562493 yylex_token: end at WS
1734457790.562499 yylex_token: Rename current session
1734457790.562505 yylex_token: end at WS
